통계년월,통계시도명,통계시군구명,수급자구분,성별,연령구간,수급자수
201905,서울특별시,종로구,조건부수급자,여성,13~15세,5
201905,서울특별시,종로구,조건부수급자,여성,16~18세,10
201905,서울특별시,중구,조건부수급자,여성,19~29세,31
201905,서울특별시,중구,조건부수급자,여성,30~39세,7
201905,서울특별시,중구,조건부수급자,여성,40~49세,27
201905,서울특별시,중구,조건부수급자,여성,50~59세,32
201905,서울특별시,중구,조건부수급자,여성,60~64세,15
201905,서울특별시,중구,조건부수급자,여성,65~69세,2
201905,서울특별시,중구,조건부수급자,여성,70~74세,5
201905,서울특별시,중구,조건부수급자,여성,75~79세,1
201905,서울특별시,중구,조건부수급자,여성,80~89세,2
201905,서울특별시,중구,시설수급자,남성,7세미만,31
201905,서울특별시,중구,시설수급자,남성,7~12세,9
201905,서울특별시,중구,일반수급자,남성,30~39세,62
201905,서울특별시,중구,시설수급자,남성,13~15세,2
201905,서울특별시,중구,시설수급자,남성,16~18세,11
201905,서울특별시,중구,시설수급자,남성,19~29세,1
201905,서울특별시,중구,시설수급자,남성,60~64세,1
201905,서울특별시,중구,시설수급자,남성,65~69세,1
201905,서울특별시,중구,시설수급자,남성,80~89세,1
201905,서울특별시,중구,시설수급자,여성,7세미만,28
201905,서울특별시,중구,시설수급자,여성,7~12세,8
201905,서울특별시,중구,시설수급자,여성,13~15세,4
201905,서울특별시,중구,시설수급자,여성,16~18세,2
201905,서울특별시,중구,시설수급자,여성,19~29세,2
201905,서울특별시,중구,일반수급자,남성,40~49세,168
201905,서울특별시,중구,시설수급자,여성,60~64세,2
201905,서울특별시,중구,시설수급자,여성,75~79세,1
201905,서울특별시,중구,시설수급자,여성,80~89세,5
201905,서울특별시,중구,시설수급자,여성,90세이상,2
201905,서울특별시,중구,특례수급자,남성,7~12세,1
201905,서울특별시,중구,일반수급자,남성,7세미만,25
201905,서울특별시,중구,특례수급자,남성,16~18세,2
201905,서울특별시,중구,특례수급자,남성,19~29세,2
201905,서울특별시,중구,일반수급자,남성,50~59세,449
201905,서울특별시,중구,특례수급자,남성,30~39세,1
201905,서울특별시,중구,특례수급자,남성,40~49세,7
201905,서울특별시,중구,특례수급자,남성,50~59세,17
201905,서울특별시,중구,특례수급자,남성,60~64세,16
201905,서울특별시,중구,특례수급자,남성,65~69세,5
201905,서울특별시,중구,특례수급자,남성,70~74세,5
201905,서울특별시,중구,특례수급자,남성,75~79세,4
201905,서울특별시,중구,특례수급자,남성,80~89세,5
201905,서울특별시,중구,특례수급자,남성,90세이상,1
201905,서울특별시,중구,특례수급자,여성,16~18세,2
201905,서울특별시,중구,일반수급자,남성,60~64세,277
201905,서울특별시,중구,특례수급자,여성,40~49세,3
201905,서울특별시,중구,특례수급자,여성,50~59세,9
201905,서울특별시,중구,특례수급자,여성,60~64세,6
201905,서울특별시,중구,일반수급자,남성,65~69세,321
201905,서울특별시,중구,특례수급자,여성,65~69세,7
201905,서울특별시,중구,특례수급자,여성,70~74세,8
201905,서울특별시,중구,특례수급자,여성,75~79세,11
201905,서울특별시,중구,특례수급자,여성,80~89세,16
201905,서울특별시,중구,특례수급자,여성,90세이상,1
201905,서울특별시,중구,일반수급자,남성,70~74세,209
201905,서울특별시,중구,일반수급자,남성,75~79세,165
201905,서울특별시,중구,일반수급자,남성,80~89세,134
201905,서울특별시,중구,일반수급자,남성,90세이상,8
201905,서울특별시,중구,일반수급자,여성,7세미만,22
201905,서울특별시,중구,일반수급자,여성,7~12세,72
201905,서울특별시,중구,일반수급자,여성,13~15세,53
201905,서울특별시,중구,일반수급자,남성,7~12세,97
201905,서울특별시,중구,일반수급자,여성,16~18세,83
201905,서울특별시,중구,일반수급자,여성,19~29세,58
201905,서울특별시,중구,일반수급자,여성,30~39세,48
201905,서울특별시,중구,일반수급자,여성,40~49세,137
201905,서울특별시,중구,일반수급자,여성,50~59세,194
201905,서울특별시,중구,일반수급자,여성,60~64세,105
201905,서울특별시,중구,일반수급자,여성,65~69세,175
201905,서울특별시,중구,일반수급자,여성,70~74세,197
201905,서울특별시,중구,일반수급자,여성,75~79세,244
201905,서울특별시,중구,일반수급자,여성,80~89세,282
201905,서울특별시,중구,일반수급자,여성,90세이상,64
201905,서울특별시,중구,일반수급자,남성,13~15세,54
201905,서울특별시,중구,조건부수급자,남성,7세미만,4
201905,서울특별시,중구,조건부수급자,남성,7~12세,7
201905,서울특별시,중구,조건부수급자,남성,13~15세,5
201905,서울특별시,중구,조건부수급자,남성,16~18세,13
201905,서울특별시,중구,조건부수급자,남성,19~29세,37
201905,서울특별시,중구,조건부수급자,남성,30~39세,9
201905,서울특별시,중구,조건부수급자,남성,40~49세,29
201905,서울특별시,중구,조건부수급자,남성,50~59세,93
201905,서울특별시,중구,조건부수급자,남성,60~64세,39
201905,서울특별시,중구,조건부수급자,남성,65~69세,7
201905,서울특별시,중구,일반수급자,남성,16~18세,78
201905,서울특별시,중구,조건부수급자,남성,70~74세,1
201905,서울특별시,중구,조건부수급자,남성,80~89세,1
201905,서울특별시,중구,조건부수급자,여성,7세미만,3
201905,서울특별시,중구,조건부수급자,여성,7~12세,7
201905,서울특별시,중구,일반수급자,남성,19~29세,70
201905,서울특별시,중구,조건부수급자,여성,13~15세,5
201905,서울특별시,중구,조건부수급자,여성,16~18세,9
201905,서울특별시,용산구,조건부수급자,여성,30~39세,10
201905,서울특별시,용산구,조건부수급자,여성,40~49세,50
201905,서울특별시,용산구,조건부수급자,여성,50~59세,62
201905,서울특별시,용산구,조건부수급자,여성,60~64세,18
201905,서울특별시,용산구,조건부수급자,여성,65~69세,6
201905,서울특별시,용산구,일반수급자,남성,19~29세,114
201905,서울특별시,용산구,조건부수급자,여성,70~74세,4
201905,서울특별시,용산구,조건부수급자,여성,75~79세,2
201905,서울특별시,용산구,조건부수급자,여성,80~89세,6
201905,서울특별시,용산구,조건부수급자,여성,90세이상,1
201905,서울특별시,용산구,시설수급자,남성,7세미만,45
201905,서울특별시,용산구,시설수급자,남성,7~12세,23
201905,서울특별시,용산구,시설수급자,남성,13~15세,10
201905,서울특별시,용산구,시설수급자,남성,16~18세,13
201905,서울특별시,용산구,시설수급자,남성,19~29세,4
201905,서울특별시,용산구,일반수급자,남성,30~39세,94
201905,서울특별시,용산구,시설수급자,남성,30~39세,3
201905,서울특별시,용산구,시설수급자,남성,75~79세,1
201905,서울특별시,용산구,일반수급자,남성,40~49세,286
201905,서울특별시,용산구,시설수급자,남성,80~89세,3
201905,서울특별시,용산구,시설수급자,여성,7세미만,32
201905,서울특별시,용산구,시설수급자,여성,7~12세,22
201905,서울특별시,용산구,시설수급자,여성,13~15세,7
201905,서울특별시,용산구,시설수급자,여성,16~18세,13
201905,서울특별시,용산구,시설수급자,여성,19~29세,21
201905,서울특별시,용산구,시설수급자,여성,30~39세,25
201905,서울특별시,용산구,시설수급자,여성,40~49세,8
201905,서울특별시,용산구,시설수급자,여성,50~59세,1
201905,서울특별시,용산구,시설수급자,여성,60~64세,1
201905,서울특별시,용산구,일반수급자,남성,50~59세,644
201905,서울특별시,용산구,시설수급자,여성,65~69세,1
201905,서울특별시,용산구,시설수급자,여성,70~74세,1
201905,서울특별시,용산구,시설수급자,여성,75~79세,1
201905,서울특별시,용산구,시설수급자,여성,80~89세,9
201905,서울특별시,용산구,시설수급자,여성,90세이상,6
201905,서울특별시,용산구,특례수급자,남성,13~15세,1
201905,서울특별시,용산구,특례수급자,남성,16~18세,6
201905,서울특별시,용산구,특례수급자,남성,19~29세,8
201905,서울특별시,용산구,특례수급자,남성,30~39세,4
201905,서울특별시,용산구,특례수급자,남성,40~49세,20
201905,서울특별시,용산구,특례수급자,남성,50~59세,34
201905,서울특별시,용산구,일반수급자,남성,60~64세,394
201905,서울특별시,용산구,특례수급자,남성,60~64세,26
201905,서울특별시,용산구,특례수급자,남성,65~69세,18
